Titulo,Endereço,Aluguel,Area,Descricao
Sala Comercial,Centro Londrina - PR,"R$ 50.000,00",1.700m²,"1.700m² útil ,4 banheiros"
Casa em Condomínio,Condominio Royal Golf Residence Londrina - PR,"R$ 30.000,00",970m²,"970m² útil ,6 quartossendo 6 suítes ,14 banheiros ,Sim ,1.080m² total"
Sala Comercial,Jardim Londrilar Londrina - PR,"R$ 25.000,00",1.000m²,"40 salas ,1.000m² útil"
Casa Comercial,Centro Londrina - PR,"R$ 15.000,00",1.000m²,"20 salas ,2 banheiros ,8 vagas ,1.000m² útil"
Sala Comercial,Ipanema Londrina - PR,"R$ 13.500,00",380m²,"1 sala ,5 banheiros ,Sim ,380m² útil"
Casa Residencial,Mediterraneo Londrina - PR,"R$ 12.000,00",549m²,"549m² útil ,5 quartossendo 5 suítes ,6 banheiros ,5 vagas ,1.000m² total"
Barracão_galpão,Lindoia Londrina - PR,"R$ 9.400,00",608m²,"608m² útil ,2 banheiros ,835m² total"
Sala Comercial,Centro Londrina - PR,"R$ 9.000,00",150m²,"1 sala ,2 banheiros ,150m² útil"
Barracão_galpão,Rodocentro Londrina - PR,"R$ 8.500,00",613m²,"613m² útil ,4 banheiros"
Barracão_galpão,Taroba Londrina - PR,"R$ 8.500,00",,1 banheiro
Sala Comercial,Jardim Londrilar Londrina - PR,"R$ 8.000,00",600m²,"1 sala ,5 banheiros ,600m² útil"
Casa Comercial,Centro Londrina - PR,"R$ 8.000,00",600m²,"1 sala ,8 quartos ,2 banheiros ,10 vagas ,600m² total ,400m² útil"
Sala Comercial,Vila Larsen 1 Londrina - PR,"R$ 7.900,00",613m²,"7 salas ,2 banheiros ,4 vagas ,613m² total ,364m² útil"
Casa Comercial,Centro Londrina - PR,"R$ 7.500,00",960m²,"9 salas ,4 banheiros ,11 vagas ,960m² total ,500m² útil"
Sala Comercial,Centro Londrina - PR,"R$ 7.500,00",368m²,"368m² útil ,5 banheiros ,10 vagas ,656m² total"
Casa Residencial,Aurora Londrina - PR,"R$ 6.500,00",387m²,"387m² útil ,3 quartossendo 1 suíte ,2 banheiros ,4 vagas"
Barracão_galpão,Jardim Higienopolis Londrina - PR,"R$ 6.000,00",300m²,"300m² útil ,3 banheiros ,460m² total"
Casa Residencial,Ipanema Londrina - PR,"R$ 5.900,00",180m²,"180m² útil ,4 quartossendo 1 suíte ,3 banheiros ,4 vagas ,300m² total"
Sala Comercial,Jardim Higienopolis Londrina - PR,"R$ 5.800,00",1.200m²,"8 salas ,3 banheiros ,35 vagas ,1.200m² total ,240m² útil"
Casa Comercial,Guanabara Londrina - PR,"R$ 5.000,00",190m²,"1 sala ,5 quartossendo 1 suíte ,3 banheiros ,Sim ,190m² útil"
Rural,Recanto Rancho Ringo Cambe - PR,"R$ 4.800,00",5.100m²,"5.100m² total ,1 banheiro"
Casa Residencial,Lago Parque Londrina - PR,"R$ 4.800,00",242m²,"242m² útil ,4 quartossendo 1 suíte ,5 banheiros ,2 vagas"
Sala Comercial,Jardim Londrilar Londrina - PR,"R$ 4.500,00",110m²,"110m² útil ,2 banheiros"
Sala Comercial,Jardim Shangri-la a Londrina - PR,"R$ 4.000,00",500m²,"2 salas ,4 banheiros ,Sem vaga ,500m² total ,440m² útil"
Sala Comercial,Jardim Higienopolis Londrina - PR,"R$ 4.000,00",60m²,"1 sala ,2 banheiros ,60m² total ,60m² útil"
Sala Comercial,Parque Residencial Joao Piza Londrina - PR,"R$ 3.700,00",300m²,"8 salas ,2 banheiros ,300m² útil"
Barracão_galpão,Rodocentro Londrina - PR,"R$ 3.700,00",200m²,"200m² útil ,2 banheiros"
Casa Residencial,Aeroporto Londrina - PR,"R$ 3.700,00",139m²,"139m² útil ,3 quartossendo 1 suíte ,3 banheiros ,1 vaga ,451m² total"
Sala Comercial,Igapo Londrina - PR,"R$ 3.500,00",150m²,"150m² útil ,150m² total"
Sala Comercial,Parque Leblon Londrina - PR,"R$ 3.500,00",250m²,"1 sala ,250m² total ,250m² útil"
Rural,Espirito Santo Londrina - PR,"R$ 3.000,00",,
Barracão_galpão,Vila Shimabokuro Londrina - PR,"R$ 3.000,00",92m²,"92m² útil ,1 banheiro ,2 vagas"
Barracão_galpão,Waldemar Hauer Londrina - PR,"R$ 3.000,00",230m²,"230m² útil ,1 banheiro"
Sala Comercial,Jardim Shangri-la a Londrina - PR,"R$ 2.800,00",260m²,"1 sala ,2 banheiros ,260m² total ,220m² útil"
Casa Comercial,Jacomo Violin Londrina - PR,"R$ 2.500,00",400m²,"9 salas ,2 banheiros ,2 vagas ,400m² total ,200m² útil"
