Título,Aluguel,Área,Descricao
Imóveis,Sob Consulta,675m²total," A Imobiliária Perez oferece a você mais uma oportunidade de imóveis comerciais para alugar em Londrina
                                 ** SISTEMA BTS **( CONSTROI CONFORME SEU PROJETO)

Terreno comercial com 675m², 60m² de escritório e cobertura para carros, frente para 02 ruas Av Theodoro Victorelli e R R. Amaro Romeu Ramalho, 12m frente para o shopping Boulevard ao lado do posto gasolina.
   
Constrói conforme necessidade, valor sob consulta.

  
PEREZ: A sua imobiliária em Londrina
Para a sua GRANDE CONQUISTA, conte com um GRANDE PARCEIRO."
Terrenos,Sob Consulta,651m²total," A Imobiliária Perez oferece a você mais uma oportunidade de terrenos para alugar em Londrina
                                 Terreno com 651,02m², ao lado do imóvel de número 640, esquina com a Rua Oulavo Benato.

PEREZ: A sua imobiliária em Londrina		
Para a sua GRANDE CONQUISTA, conte com um GRANDE PARCEIRO."
Apartamento,Sob Consulta,117m²total," A Imobiliária Perez oferece a você mais uma oportunidade de apartamento para alugar em Londrina
                                 Apartamento com 03 dormitórios, sala, cozinha, WC social, área de serviço e garagem.

PEREZ: A sua imobiliária em Londrina		
Para a sua GRANDE CONQUISTA, conte com um GRANDE PARCEIRO."
Apartamento,"R$ 250,00",16m²total," A Imobiliária Perez oferece a você mais uma oportunidade de apartamento para alugar em Londrina
                                 ED. PROST DE SOUZA, locação de garagem para 01 carro.

PEREZ: A sua imobiliária em Londrina	
Para a sua GRANDE CONQUISTA, conte com um GRANDE PARCEIRO."
Terrenos,"R$ 300,00",250m²total," A Imobiliária Perez oferece a você mais uma oportunidade de terrenos para alugar em Londrina
                                 A Imobiliária Perez oferece a você mais uma ótima oportunidade de terreno para locação em Londrina.
Terreno com 250,13m² todo murado e com portão.

PEREZ: A sua imobiliária em Londrina	
Para a sua GRANDE CONQUISTA, conte com um GRANDE PARCEIRO."
Terrenos,"R$ 350,00",344m²total," A Imobiliária Perez oferece a você mais uma oportunidade de terrenos para alugar em Londrina
                                 A Imobiliária Perez oferece à você mais uma ótima oportunidade de terreno comercial para locação em Londrina.
Com 343,82m², localizado à Rua  Ametista, esquina com Rua Topázio.

PEREZ: A sua imobiliária em Londrina
Para a sua GRANDE CONQUISTA, conte com um GRANDE PARCEIRO."
"Casa,","R$ 450,00",45m²total," A Imobiliária Perez oferece a você mais uma oportunidade de casa para alugar em Londrina
                                 Casa de alvenaria com 01 dormitório, sala, cozinha e WC social. 

PEREZ: A sua imobiliária em Londrina	
Para a sua GRANDE CONQUISTA, conte com um GRANDE PARCEIRO."
Salas,"R$ 450,00",29m²total," A Imobiliária Perez oferece a você mais uma oportunidade de salas para alugar em Londrina
                                 A Imobiliária Perez oferece a você mais uma ótima oportunidade de barracão para locação em Londrina.
EDIFÍCIO AUTOLON, sala comercial com 29 m², com divisórias, WC coletivo
R. Minas Gerais, 194                 


PEREZ: A sua imobiliária em Londrina
Para a sua GRANDE CONQUISTA, conte com um GRANDE PARCEIRO."
Salas,"R$ 450,00",20m²total," A Imobiliária Perez oferece a você mais uma oportunidade de salas para alugar em Londrina
                                 A Imobiliária Perez oferece a você mais uma ótima oportunidade de sala comercial para locação em Londrina.

Sala comercial com aproximadamente 20m².

PEREZ: A sua imobiliária em Londrina	
Para a sua GRANDE CONQUISTA, conte com um GRANDE PARCEIRO."
Salas,"R$ 450,00",32m²total," A Imobiliária Perez oferece a você mais uma oportunidade de salas para alugar em Londrina
                                 Sala comercial com aproximadamente 20m², recepção e WC coletivo.

PEREZ: A sua imobiliária em Londrina	
Para a sua GRANDE CONQUISTA, conte com um GRANDE PARCEIRO."
